ID,title,Language,Release Year,Genre,Director,OTT Platform,Prequel ID,Sequel ID,Cover Image URL
1,RRR,Telugu,2022,Action,S. S. Rajamouli,Netflix,–,–,https://i.postimg.cc/rFLFdwxn/RRR-Poster.jpg
2,Jawan,Hindi,2023,Action,Atlee,Netflix,–,–,https://i.postimg.cc/FRgCDpWw/Jawan-film-poster.jpg
3,Baahubali: The Beginning,Telugu,2015,Action,S. S. Rajamouli,JioHotstar,–,4,https://i.postimg.cc/Z54tm93L/Baahubali-The-Beginning-poster.jpg
4,Baahubali 2: The Conclusion,Telugu,2017,Action,S. S. Rajamouli,JioHotstar,3,–,https://i.postimg.cc/9MFQQ89m/baahubali-2-poster.webp
5,Golden Boys,Hindi,2008,"suspense , Mystery",Ravi Varma,–,–,–,https://i.postimg.cc/gkZjJSJF/img13746804191440630951.jpg
6,Kaccha Limboo,Hindi,2011,drama,Sagar Ballary,–,–,–,https://i.postimg.cc/rFVc6frx/img1346405146.jpg
7,Not A Love Story,Hindi,2011,thriller,Ram Gopal Verma,–,–,–,https://i.postimg.cc/9FD2FrLq/img1337099202.jpg
8,Qaidi Band,Hindi,2017,drama,Habib Faisal,"YouTube , Prime_Video",–,–,https://i.postimg.cc/DfJF7Sjm/img15042028551250013571.jpg
9,Langdai Ama,Manipuri,2024,drama,Binoranjan Oinam,–,–,–,https://i.postimg.cc/4yxxtVT1/Langdai-Ama-Poster.jpg
10,Oneness,Manipuri,2024,Social_Drama,Priyakanta Laishram,–,–,–,https://i.postimg.cc/sgrD9kzc/Oneness-Official-Poster.jpg
11,Oitharei,Manipuri,2025,Tragedy,Dinesh Naorem,–,–,–,https://i.postimg.cc/rpz6SjD3/Oitharei-Film-Poster.jpg
12,Una Una,Manipuri,2024,Rom_Drama,Irel Luwang,–,–,–,https://i.postimg.cc/KYhLTqpL/images.jpg
13,Sunita,Manipuri,2025,Drama,Ajit Yumnam,–,–,–,https://i.postimg.cc/VN7ChfLX/Sunita-Film-Poster.jpg
14,Laangoi,Manipuri,2024,Drama,Manoranjan Longjam,–,–,–,https://i.postimg.cc/LssqLcBZ/Laangoi-Poster.jpg
15,Amateurs,Assamese,2025,"Comedy , Drama",Dhiraj Kashyap,–,–,–,https://i.postimg.cc/mr3d1FjT/Assamese-film.webp
16,Village Rockstar,Assamese,2017,Slice_Of_Life,Rima Das,–,–,17,https://i.postimg.cc/sgsKd2yp/Poster-of-Village-Rockstars.jpg
17,Village Rockstar 2,Assamese,2024,Slice_Of_Life,Rima Das,–,16,–,https://i.postimg.cc/fLT6wKsZ/Village-Rockstars-2-film-poster.jpg
18,AAMIS,Assamese,2019,"Horror , Romance",Bhaskar Hazarika,Sony Liv,–,–,https://i.postimg.cc/sxP67Gsx/images.jpg
19,Boong,Maipuri,2025,Drama,Lakshmipriya Devi,–,–,–,https://i.postimg.cc/3Jcp9JND/Boong-Film-Poster.jpg
20,Tara : The Lost Star,Nepali,2024,"Social_Drama , Slice_Of_Life",Samten Bhutia,–,–,–,https://i.postimg.cc/QNph06Mt/Tara-The-Lost-Star-Poster.jpg
21,Ka Chithi,Jaintia,2024,Slice_Of_Life,Simi Khongtiang,–,–,–,https://i.postimg.cc/jjKzn3CM/Ka-Chithi-Poster.jpg
22,Andro Dreams,Manipuri,2023,"Sport, Drama",Meena Longjam,–,–,–,https://i.postimg.cc/1XxHxSZS/Andro-Dreams-Poster.jpg
23,Bibo Binanao,Boro,2024,Drama,Kenny Deori Basumatary,–,–,–,https://i.postimg.cc/3x7380ZD/Bibo-Binanao-Poster.png
24,Ade (On a Sunday),Tenyidie,2024,Slice_Of_Life,Theja Rio,–,–,–,https://i.postimg.cc/QtDQSbgM/Ade-Poster.jpg
25,Karken,Galo,2024,Social_Drama,Nending Loder,–,–,–,https://i.postimg.cc/Vvp5Zsy9/Karken-Film-Poster.jpg
26,Chanchisoa,Garo,2024,Drama,"Elvachisa Ch. Sangma & 
Dipankar Das",–,–,–,https://i.postimg.cc/fyw64YsW-/Chanchisoa-Poster.jpg
27,Delusional Decays,Manipuri,2024,Social_Drama,Tushar Nongthombam,–,–,–,https://i.postimg.cc/wT4nPtGz/Delusional-Decays-Poster.jpg
